title,TMDB_ID,bechdel_pass,budget,revenue,primary_genre,popularity,year,language,runtime,TMDB_rating,votes,spoken_language,logbudget,logrevenue
Body Snatchers,4722,pass,13000000,428868,Horror,9.661,1993,English Language,87,6.1,265,en,16.38045991542581,12.968904458255471
Cliffhanger,9350,fail,70000000,255000211,Action,18.036,1993,English Language,112,6.4,1722,en,18.064005800013632,19.356774930573337
Coneheads,9612,pass,33000000,21274717,Comedy,12.926,1993,English Language,87,5.3,676,en,17.312018119430753,16.87302993033759
Cool Runnings,864,fail,14000000,154856263,Comedy,15.383,1993,English Language,98,7,1502,en,16.454567887579532,18.858007909158093
Dazed and Confused,9571,pass,6900000,7993039,Comedy,12.324,1993,English Language,102,7.4,1517,en,15.747031969567487,15.894081595865613
Demolition Man,9739,fail,57000000,58055768,Crime,21.393,1993,English Language,115,6.6,2744,en,17.858561825798823,17.87691462379047
Dragon: The Bruce Lee Story,10423,pass,14000000,63513743,Drama,15.656,1993,English Language,120,6.9,499,en,16.454567887579532,17.966766865643216
The Firm,37233,pass,42000000,270248367,Drama,13.407,1993,English Language,155,6.8,1460,en,17.553180176247643,19.414851971912142
The Fugitive,5503,fail,44000000,368875760,Drama,23.102,1993,English Language,131,7.4,3188,en,17.599700191882537,19.72597045154379
Gettysburg,10655,fail,25000000,12700000,Drama,15.205,1993,English Language,271,6.9,213,en,17.034386382832476,16.35711255142882
Groundhog Day,137,fail,14600000,71074049,Romance,20.671,1993,English Language,101,7.6,5998,en,16.496532086678563,18.079232835179674
Hard Target,2019,fail,18000000,74189677,Action,21.868,1993,English Language,97,6.3,784,en,16.70588231586044,18.122135574469752
Hocus Pocus,10439,pass,28000000,39514713,Comedy,39.012,1993,English Language,96,7,2029,en,17.14771506813948,17.49218364153018
Hot Shots! Part Deux,9255,pass,25000000,133752825,Action,29.959,1993,English Language,86,6.5,1379,en,17.034386382832476,18.71150406501266
In the Line of Fire,9386,fail,40000000,176997168,Action,13.013,1993,English Language,128,7,1116,en,17.50439001207821,18.9916442904101
